Alabama-Tested-Negative, 95092
Alabama-Tested-Positive, 8025
Alabama-Untested, 4747654
Alaska-Tested-Negative, 21353
Alaska-Tested-Positive, 370
Alaska-Untested, 716842
Arizona-Tested-Negative, 76334
Arizona-Tested-Positive, 8919
Arizona-Untested, 6724693
Arkansas-Tested-Negative, 50984
Arkansas-Tested-Positive, 3458
Arkansas-Untested, 2923502
California-Tested-Negative, 692937
California-Tested-Positive, 54937
California-Untested, 38234973
Colorado-Tested-Negative, 66455
Colorado-Tested-Positive, 16635
Colorado-Untested, 5353429
Connecticut-Tested-Negative, 73206
Connecticut-Tested-Positive, 29287
Connecticut-Untested, 3491985
Delaware-Tested-Negative, 18822
Delaware-Tested-Positive, 5288
Delaware-Untested, 919622
Florida-Tested-Negative, 407373
Florida-Tested-Positive, 36897
Florida-Untested, 19832996
Georgia-Tested-Negative, 153957
Georgia-Tested-Positive, 29368
Georgia-Untested, 10018310
Hawaii-Tested-Negative, 33246
Hawaii-Tested-Positive, 620
Hawaii-Untested, 1387792
Idaho-Tested-Negative, 27746
Idaho-Tested-Positive, 2061
Idaho-Untested, 1627568
Illinois-Tested-Negative, 269307
Illinois-Tested-Positive, 63840
Illinois-Untested, 12521379
Indiana-Tested-Negative, 92790
Indiana-Tested-Positive, 20507
Indiana-Untested, 6501121
Iowa-Tested-Negative, 47458
Iowa-Tested-Positive, 9703
Iowa-Untested, 3060941
Kansas-Tested-Negative, 33358
Kansas-Tested-Positive, 5245
Kansas-Untested, 3865217
Kentucky-Tested-Negative, 53279
Kentucky-Tested-Positive, 5130
Kentucky-Untested, 4365967
Louisiana-Tested-Negative, 151258
Louisiana-Tested-Positive, 29673
Louisiana-Untested, 4482530
Maine-Tested-Negative, 19546
Maine-Tested-Positive, 1205
Maine-Untested, 1309407
Maryland-Tested-Negative, 110587
Maryland-Tested-Positive, 26408
Maryland-Untested, 5859084
Massachusetts-Tested-Negative, 255181
Massachusetts-Tested-Positive, 69087
Massachusetts-Untested, 6465051
Michigan-Tested-Negative, 178439
Michigan-Tested-Positive, 43754
Michigan-Untested, 9703375
Minnesota-Tested-Negative, 78707
Minnesota-Tested-Positive, 7234
Minnesota-Untested, 5404785
Mississippi-Tested-Negative, 71800
Mississippi-Tested-Positive, 7877
Mississippi-Untested, 2906523
Missouri-Tested-Negative, 82697
Missouri-Tested-Positive, 8754
Missouri-Untested, 5983849
Montana-Tested-Negative, 14631
Montana-Tested-Positive, 457
Montana-Untested, 1014774
Nebraska-Tested-Negative, 27844
Nebraska-Tested-Positive, 5910
Nebraska-Untested, 1860167
Nevada-Tested-Negative, 40675
Nevada-Tested-Positive, 5491
Nevada-Untested, 2841559
New Hampshire-Tested-Negative, 24282
New Hampshire-Tested-Positive, 2588
New Hampshire-Untested, 1304734
New Jersey-Tested-Negative, 148951
New Jersey-Tested-Positive, 128269
New Jersey-Untested, 8682294
New Mexico-Tested-Negative, 74127
New Mexico-Tested-Positive, 3850
New Mexico-Untested, 2006851
New York-Tested-Negative, 688357
New York-Tested-Positive, 318953
New York-Untested, 18790918
North Carolina-Tested-Negative, 134591
North Carolina-Tested-Positive, 11848
North Carolina-Untested, 9906125
North Dakota-Tested-Negative, 33529
North Dakota-Tested-Positive, 1225
North Dakota-Untested, 701721
Ohio-Tested-Negative, 134681
Ohio-Tested-Positive, 20474
Ohio-Untested, 11454601
Oklahoma-Tested-Negative, 59804
Oklahoma-Tested-Positive, 4044
Oklahoma-Untested, 3832403
Oregon-Tested-Negative, 60698
Oregon-Tested-Positive, 2759
Oregon-Untested, 3961670
Pennsylvania-Tested-Negative, 195498
Pennsylvania-Tested-Positive, 50092
Pennsylvania-Untested, 12544915
Rhode Island-Tested-Negative, 64484
Rhode Island-Tested-Positive, 9652
Rhode Island-Untested, 982002
South Carolina-Tested-Negative, 57562
South Carolina-Tested-Positive, 6626
South Carolina-Untested, 4829256
South Dakota-Tested-Negative, 16045
South Dakota-Tested-Positive, 2668
South Dakota-Untested, 836731
Tennessee-Tested-Negative, 197872
Tennessee-Tested-Positive, 13571
Tennessee-Untested, 6385938
Texas-Tested-Negative, 375066
Texas-Tested-Positive, 32332
Texas-Untested, 27012214
Utah-Tested-Negative, 119344
Utah-Tested-Positive, 5317
Utah-Untested, 2869280
Vermont-Tested-Negative, 16430
Vermont-Tested-Positive, 902
Vermont-Untested, 607304
Virginia-Tested-Negative, 92801
Virginia-Tested-Positive, 19492
Virginia-Untested, 8253181
Washington-Tested-Negative, 196820
Washington-Tested-Positive, 15185
Washington-Untested, 6957962
West Virginia-Tested-Negative, 52033
West Virginia-Tested-Positive, 1206
West Virginia-Untested, 1783244
Wisconsin-Tested-Negative, 80467
Wisconsin-Tested-Positive, 8236
Wisconsin-Untested, 5674288
Wyoming-Tested-Negative, 9868
Wyoming-Tested-Positive, 586
Wyoming-Untested, 572746